sample_second,video_time_s,frame_index,track_id,label,confidence,bbox_x,bbox_y,bbox_width,bbox_height,center_x,center_y,area_px,displacement_px,speed_px_s,track_age_s,tracking_state,missed_frames
0.0,0.0,0,1,person,0.8338,845,236,84,166,887.0,319.0,13944,0.0,0.0,0.0,detected,0
0.0,0.0,0,2,person,0.7546,540,274,79,127,579.5,337.5,10033,0.0,0.0,0.0,detected,0
0.0,0.0,0,3,person,0.72,647,257,92,178,693.0,346.0,16376,0.0,0.0,0.0,detected,0
0.0,0.0,0,4,person,0.7146,774,268,58,127,803.0,331.5,7366,0.0,0.0,0.0,detected,0
0.0,0.0,0,5,person,0.6717,396,279,113,142,452.5,350.0,16046,0.0,0.0,0.0,detected,0
0.0,0.0,0,7,person,0.3653,266,290,61,184,296.5,382.0,11224,0.0,0.0,0.0,detected,0
0.0,0.0,0,8,person,0.3469,849,1,52,69,875.0,35.5,3588,0.0,0.0,0.0,detected,0
0.0,0.0,0,9,person,0.2297,967,237,56,178,995.0,326.0,9968,0.0,0.0,0.0,detected,0
1.0,1.0,30,1,person,0.2433,810,225,66,191,843.0,320.5,12606,44.03,44.03,1.0,detected,0
1.0,1.0,30,3,person,0.7757,719,254,59,138,748.5,323.0,8142,60.08,60.08,1.0,detected,0
1.0,1.0,30,5,person,0.797,389,275,65,168,421.5,359.0,10920,32.28,32.28,1.0,detected,0
1.0,1.0,30,9,person,0.7844,886,221,84,185,928.0,313.5,15540,68.16,68.16,1.0,detected,0
1.0,1.0,30,10,person,0.5242,190,293,84,188,232.0,387.0,15792,0.0,0.0,1.0,detected,0
1.0,1.0,30,14,person,0.4982,240,276,48,153,264.0,352.5,7344,0.0,0.0,0.9,detected,0
1.0,1.0,30,15,person,0.8219,505,277,65,159,537.5,356.5,10335,0.0,0.0,0.867,detected,0
1.0,1.0,30,19,person,0.8386,647,249,65,215,679.5,356.5,13975,0.0,0.0,0.7,detected,0
2.0,2.0,60,1,person,0.8487,779,198,98,188,828.0,292.0,18424,32.21,32.21,2.0,detected,0
2.0,2.0,60,3,person,0.456,738,233,37,135,756.5,300.5,4995,23.88,23.88,2.0,detected,0
2.0,2.0,60,4,person,0.1637,990,332,55,79,1017.5,371.5,4345,218.2,109.1,2.0,predicted,2
2.0,2.0,60,5,person,0.7485,401,274,68,208,435.0,378.0,14144,23.31,23.31,2.0,detected,0
2.0,2.0,60,6,person,0.6488,669,246,102,203,720.0,347.5,20706,0.0,0.0,2.0,detected,0
2.0,2.0,60,7,person,0.8313,199,278,50,140,224.0,348.0,7000,80.08,40.04,2.0,detected,0
2.0,2.0,60,9,person,0.8953,878,194,97,175,926.5,281.5,16975,32.04,32.04,2.0,detected,0
2.0,2.0,60,14,person,0.3289,218,260,46,146,241.0,333.0,6716,30.15,30.15,1.9,detected,0
2.0,2.0,60,15,person,0.8166,518,271,87,184,561.5,363.0,16008,24.86,24.86,1.867,detected,0
2.0,2.0,60,39,person,0.2929,1037,346,50,44,1062.0,368.0,2200,0.0,0.0,0.133,predicted,4
2.0,2.0,60,41,person,0.1787,837,1,101,92,887.5,47.0,9292,0.0,0.0,0.1,detected,0
3.0,3.0,90,3,person,0.3614,703,232,85,166,745.5,315.0,14110,18.2,18.2,3.0,detected,0
3.0,3.0,90,5,person,0.827,426,296,104,197,478.0,394.5,20488,46.06,46.06,3.0,detected,0
3.0,3.0,90,6,person,0.2933,771,265,71,242,806.5,386.0,17182,94.68,94.68,3.0,detected,0
3.0,3.0,90,9,person,0.8351,877,185,85,192,919.5,281.0,16320,7.02,7.02,3.0,detected,0
3.0,3.0,90,10,person,0.3507,225,326,90,206,270.0,429.0,18540,56.64,28.32,3.0,detected,0
3.0,3.0,90,14,person,0.3029,184,267,61,156,214.5,345.0,9516,29.09,29.09,2.9,detected,0
3.0,3.0,90,15,person,0.7259,588,288,76,194,626.0,385.0,14744,68.15,68.15,2.867,detected,0
3.0,3.0,90,47,person,0.5876,799,194,55,180,826.5,284.0,9900,0.0,0.0,0.433,detected,0
4.0,4.0,120,1,person,0.292,757,180,79,156,796.5,258.0,12324,46.35,23.17,4.0,detected,0
4.0,4.0,120,2,person,0.5021,649,302,89,168,693.5,386.0,14952,123.89,30.97,4.0,detected,0
4.0,4.0,120,3,person,0.1508,715,231,70,194,750.0,328.0,13580,13.76,13.76,4.0,detected,0
4.0,4.0,120,5,person,0.782,476,319,131,192,541.5,415.0,25152,66.73,66.73,4.0,detected,0
4.0,4.0,120,6,person,0.3314,831,278,130,219,896.0,387.5,28470,89.51,89.51,4.0,detected,0
4.0,4.0,120,9,person,0.7233,835,170,72,137,871.0,238.5,9864,64.49,64.49,4.0,detected,0
4.0,4.0,120,10,person,0.61,283,361,97,206,331.5,464.0,19982,70.76,70.76,4.0,detected,0
4.0,4.0,120,14,person,0.7242,139,284,97,162,187.5,365.0,15714,33.6,33.6,3.9,detected,0
4.0,4.0,120,47,person,0.2104,933,190,73,131,969.5,255.5,9563,145.81,145.81,1.433,predicted,3
5.0,5.0,150,2,person,0.1849,795,296,63,148,826.5,370.0,9324,133.96,133.96,5.0,detected,0
5.0,5.0,150,3,person,0.1638,713,171,83,183,754.5,262.5,15189,65.65,65.65,5.0,detected,0
5.0,5.0,150,5,person,0.3326,614,317,93,180,660.5,407.0,16740,119.27,119.27,5.0,detected,0
5.0,5.0,150,7,person,0.7915,432,374,63,152,463.5,450.0,9576,260.32,86.77,5.0,detected,0
5.0,5.0,150,9,person,0.1697,805,142,56,125,833.0,204.5,7000,50.99,50.99,5.0,detected,0
5.0,5.0,150,14,person,0.4681,213,284,62,147,244.0,357.5,9114,57.0,57.0,4.9,detected,0
5.0,5.0,150,18,person,0.2575,739,155,47,94,762.5,202.0,4418,0.0,0.0,4.767,detected,0
5.0,5.0,150,19,person,0.2146,793,179,82,109,834.0,233.5,8938,197.48,49.37,4.7,detected,0
5.0,5.0,150,46,person,0.5846,985,263,58,176,1014.0,351.0,10208,0.0,0.0,2.9,detected,0
6.0,6.0,180,2,person,0.2649,774,320,82,160,815.0,400.0,13120,32.13,32.13,6.0,detected,0
6.0,6.0,180,3,person,0.3638,616,246,76,131,654.0,311.5,9956,111.81,111.81,6.0,detected,0
6.0,6.0,180,5,person,0.6628,609,353,100,200,659.0,453.0,20000,46.02,46.02,6.0,detected,0
6.0,6.0,180,9,person,0.3164,621,161,63,160,652.5,241.0,10080,184.15,184.15,6.0,detected,0
6.0,6.0,180,10,person,0.7884,436,417,109,172,490.5,503.0,18748,163.71,81.86,6.0,detected,0
6.0,6.0,180,18,person,0.433,541,186,83,152,582.5,262.0,12616,189.74,189.74,5.767,detected,0
6.0,6.0,180,28,person,0.1854,621,358,53,155,647.5,435.5,8215,0.0,0.0,5.2,detected,0
6.0,6.0,180,46,person,0.5007,949,278,83,191,990.5,373.5,15853,32.53,32.53,3.9,detected,0
6.0,6.0,180,54,person,0.4197,133,335,109,185,187.5,427.5,20165,0.0,0.0,3.233,detected,0
7.0,7.0,210,1,person,0.2099,408,355,59,166,437.5,438.0,9794,401.6,133.87,7.0,predicted,12
7.0,7.0,210,2,person,0.5231,317,380,54,148,344.0,454.0,7992,474.09,474.09,7.0,predicted,7
7.0,7.0,210,5,person,0.4035,636,354,68,201,670.0,454.5,13668,11.1,11.1,7.0,detected,0
7.0,7.0,210,6,person,0.4965,440,467,134,178,507.0,556.0,23852,423.93,141.31,7.0,predicted,1
7.0,7.0,210,10,person,0.1945,510,410,81,104,550.5,462.0,8424,72.67,72.67,7.0,predicted,3
7.0,7.0,210,14,person,0.2076,101,380,52,108,127.0,434.0,5616,139.79,69.9,6.9,detected,0
7.0,7.0,210,18,person,0.2396,404,198,128,143,468.0,269.5,18304,114.75,114.75,6.767,detected,0
7.0,7.0,210,28,person,0.5224,528,246,66,116,561.0,304.0,7656,157.4,157.4,6.2,detected,0
7.0,7.0,210,46,person,0.8269,949,243,110,188,1004.0,337.0,20680,38.92,38.92,4.9,detected,0
7.0,7.0,210,54,person,0.4143,83,381,116,200,141.0,481.0,23200,70.88,70.88,4.233,detected,0
7.0,7.0,210,77,person,0.1962,280,25,126,161,343.0,105.5,20286,0.0,0.0,1.033,predicted,15
