sample_second,video_time_s,frame_index,track_id,label,confidence,bbox_x,bbox_y,bbox_width,bbox_height,center_x,center_y,area_px,displacement_px,speed_px_s,track_age_s
0.0,0.0,0,1,person,0.6632,1649,951,101,302,1699.5,1102.0,30502,0.0,0.0,0.0
0.0,0.0,0,2,person,0.4952,1499,1106,116,334,1557.0,1273.0,38744,0.0,0.0,0.0
0.0,0.0,0,3,person,0.4907,994,1105,117,335,1052.5,1272.5,39195,0.0,0.0,0.0
0.0,0.0,0,4,person,0.4652,834,1145,138,295,903.0,1292.5,40710,0.0,0.0,0.0
0.0,0.0,0,5,person,0.311,1757,860,107,270,1810.5,995.0,28890,0.0,0.0,0.0
0.0,0.0,0,6,person,0.2856,1110,1041,99,310,1159.5,1196.0,30690,0.0,0.0,0.0
1.0,1.016,31,1,person,0.6182,1591,1021,107,338,1644.5,1190.0,36166,103.77,103.77,1.016
1.0,1.016,31,2,person,0.4132,1366,1171,171,247,1451.5,1294.5,42237,107.67,107.67,1.016
1.0,1.016,31,3,person,0.5732,1024,1056,133,361,1090.5,1236.5,48013,52.35,52.35,1.016
1.0,1.016,31,4,person,0.5156,908,1135,116,305,966.0,1287.5,35380,63.2,63.2,1.016
1.0,1.016,31,5,person,0.458,1694,896,118,276,1753.0,1034.0,32568,69.48,69.48,1.016
1.0,1.016,31,7,person,0.4051,149,887,137,272,217.5,1023.0,37264,0.0,0.0,0.852
1.0,1.016,31,9,person,0.4492,1457,985,126,324,1520.0,1147.0,40824,0.0,0.0,0.852
1.0,1.016,31,11,person,0.2855,1488,756,92,238,1534.0,875.0,21896,0.0,0.0,0.786
1.0,1.016,31,13,person,0.2941,1989,1048,105,280,2041.5,1188.0,29400,0.0,0.0,0.623
1.0,1.016,31,14,person,0.2519,733,1152,104,285,785.0,1294.5,29640,0.0,0.0,0.623
2.0,1.999,61,1,person,0.7039,1500,1081,98,344,1549.0,1253.0,33712,114.41,114.41,1.999
2.0,1.999,61,2,person,0.5267,1290,1235,139,205,1359.5,1337.5,28495,101.55,101.55,1.999
2.0,1.999,61,4,person,0.5504,983,1103,143,336,1054.5,1271.0,48048,90.02,90.02,1.999
2.0,1.999,61,5,person,0.5423,1643,941,119,291,1702.5,1086.5,34629,72.85,72.85,1.999
2.0,1.999,61,7,person,0.3357,160,889,119,263,219.5,1020.5,31297,3.2,3.2,1.835
2.0,1.999,61,15,person,0.4183,217,1099,108,320,271.0,1259.0,34560,0.0,0.0,1.212
2.0,1.999,61,18,person,0.2925,1796,771,109,248,1850.5,895.0,27032,0.0,0.0,0.885
2.0,1.999,61,23,person,0.5027,370,1095,142,330,441.0,1260.0,46860,0.0,0.0,0.426
2.0,1.999,61,25,person,0.2418,23,809,93,276,69.5,947.0,25668,0.0,0.0,0.426
2.0,1.999,61,27,person,0.2859,583,1079,123,328,644.5,1243.0,40344,0.0,0.0,0.098
2.0,1.999,61,28,person,0.234,472,1231,158,209,551.0,1335.5,33022,0.0,0.0,0.098
3.0,3.015,92,1,person,0.6094,1382,1156,119,284,1441.5,1298.0,33796,116.54,116.54,3.015
3.0,3.015,92,2,person,0.3362,1215,1305,135,135,1282.5,1372.5,18225,84.58,84.58,3.015
3.0,3.015,92,5,person,0.2617,1611,989,132,224,1677.0,1101.0,29568,29.33,29.33,3.015
3.0,3.015,92,7,person,0.3203,173,893,104,229,225.0,1007.5,23816,14.12,14.12,2.851
3.0,3.015,92,8,person,0.2174,751,541,65,186,783.5,634.0,12090,0.0,0.0,0.098
3.0,3.015,92,9,person,0.3744,1510,939,111,320,1565.5,1099.0,35520,66.14,33.07,2.851
3.0,3.015,92,11,person,0.3132,1565,787,92,220,1611.0,897.0,20240,0.0,0.0,0.492
3.0,3.015,92,13,person,0.2489,1984,990,121,338,2044.5,1159.0,40898,0.0,0.0,0.623
3.0,3.015,92,18,person,0.2608,1704,749,93,241,1750.5,869.5,22413,103.2,103.2,1.901
3.0,3.015,92,23,person,0.3611,276,1044,141,305,346.5,1196.5,43005,113.85,113.85,1.442
3.0,3.015,92,25,person,0.3911,16,814,104,271,68.0,949.5,28184,2.92,2.92,1.442
3.0,3.015,92,26,person,0.2011,165,1252,154,187,242.0,1345.5,28798,0.0,0.0,1.311
3.0,3.015,92,28,person,0.3111,384,1176,139,264,453.5,1308.0,36696,101.3,101.3,1.114
4.0,3.998,122,1,person,0.2159,1271,1237,110,203,1326.0,1338.5,22330,122.39,122.39,3.998
4.0,3.998,122,5,person,0.468,1560,1047,125,291,1622.5,1192.5,36375,106.5,106.5,3.998
4.0,3.998,122,8,person,0.2416,743,533,65,195,775.5,630.5,12675,8.73,8.73,1.081
4.0,3.998,122,13,person,0.4076,1990,974,118,359,2049.0,1153.5,42362,7.11,7.11,1.606
4.0,3.998,122,14,person,0.3591,740,1145,90,295,785.0,1292.5,26550,0.0,0.0,0.688
4.0,3.998,122,18,person,0.3701,1650,781,80,246,1690.0,904.0,19680,69.65,69.65,2.884
4.0,3.998,122,19,person,0.593,1491,1206,110,233,1546.0,1322.5,25630,0.0,0.0,2.884
4.0,3.998,122,24,person,0.3288,2182,728,91,189,2227.5,822.5,17199,0.0,0.0,2.425
4.0,3.998,122,26,person,0.2057,211,1290,154,150,288.0,1365.0,23100,49.96,49.96,2.294
4.0,3.998,122,29,person,0.2263,1471,942,111,338,1526.5,1111.0,37518,0.0,0.0,1.868
4.0,3.998,122,31,person,0.2661,1335,941,114,331,1392.0,1106.5,37734,0.0,0.0,0.164
4.0,3.998,122,32,person,0.2122,1730,1023,149,242,1804.5,1144.0,36058,0.0,0.0,0.36
4.0,3.998,122,34,person,0.2862,501,964,93,284,547.5,1106.0,26412,0.0,0.0,0.197
5.0,5.013,153,4,person,0.2738,1109,1044,105,259,1161.5,1173.5,27195,0.0,0.0,0.721
5.0,5.013,153,5,person,0.425,1486,1113,123,295,1547.5,1260.5,36285,101.24,101.24,5.013
5.0,5.013,153,13,person,0.2473,1998,979,107,355,2051.5,1156.5,37985,3.91,3.91,2.621
5.0,5.013,153,24,person,0.2439,2170,725,84,193,2212.0,821.5,16212,15.53,15.53,3.441
5.0,5.013,153,32,person,0.2018,1635,1079,125,325,1697.5,1241.5,40625,144.76,144.76,1.376
5.0,5.013,153,35,person,0.2909,1306,880,102,294,1357.0,1027.0,29988,0.0,0.0,0.426
6.0,5.996,183,2,person,0.253,871,1298,147,142,944.5,1369.0,20874,0.0,0.0,0.786
6.0,5.996,183,3,person,0.311,529,1234,109,206,583.5,1337.0,22454,516.86,103.37,5.996
6.0,5.996,183,5,person,0.5932,1433,1171,126,269,1496.0,1305.5,33894,68.39,68.39,5.996
6.0,5.996,183,9,person,0.2667,1636,873,110,305,1691.0,1025.5,33550,0.0,0.0,0.197
6.0,5.996,183,13,person,0.3973,1982,980,121,360,2042.5,1160.0,43560,9.66,9.66,3.604
6.0,5.996,183,14,person,0.3921,709,1179,140,261,779.0,1309.5,36540,18.03,9.01,2.687
6.0,5.996,183,19,person,0.5566,1223,1201,147,239,1296.5,1320.5,35133,0.0,0.0,0.229
6.0,5.996,183,24,person,0.261,2174,717,95,203,2221.5,818.5,19285,9.96,9.96,4.424
6.0,5.996,183,25,person,0.4157,2,823,92,262,48.0,954.0,24104,0.0,0.0,0.459
6.0,5.996,183,26,person,0.3267,344,1265,151,174,419.5,1352.0,26274,0.0,0.0,1.147
6.0,5.996,183,29,person,0.2009,1553,901,100,297,1603.0,1049.5,29700,0.0,0.0,0.721
6.0,5.996,183,34,person,0.2356,493,970,93,275,539.5,1107.5,25575,0.0,0.0,0.819
6.0,5.996,183,37,person,0.2448,2336,1264,127,176,2399.5,1352.0,22352,0.0,0.0,0.393
6.0,5.996,183,38,person,0.2774,150,1116,116,318,208.0,1275.0,36888,0.0,0.0,0.328
7.0,7.012,214,2,person,0.2036,647,1270,91,170,692.5,1355.0,15470,252.39,252.39,1.802
7.0,7.012,214,3,person,0.2313,363,1181,136,259,431.0,1310.5,35224,154.79,154.79,7.012
7.0,7.012,214,5,person,0.3963,1326,1232,113,208,1382.5,1336.0,23504,117.53,117.53,7.012
7.0,7.012,214,10,person,0.2866,193,1014,155,367,270.5,1197.5,56885,0.0,0.0,0.786
7.0,7.012,214,24,person,0.2208,2168,712,81,209,2208.5,816.5,16929,13.15,13.15,5.439
7.0,7.012,214,25,person,0.3445,3,834,87,257,46.5,962.5,22359,8.63,8.63,1.475
7.0,7.012,214,26,person,0.2094,448,1322,141,118,518.5,1381.0,16638,103.16,103.16,2.163
7.0,7.012,214,29,person,0.2612,1593,883,110,301,1648.0,1033.5,33110,47.76,47.76,1.737
7.0,7.012,214,32,person,0.2311,1475,1191,135,249,1542.5,1315.5,33615,171.76,85.88,3.375
7.0,7.012,214,33,person,0.209,858,1205,133,235,924.5,1322.5,31255,0.0,0.0,3.277
7.0,7.012,214,34,person,0.4191,485,975,99,310,534.5,1130.0,30690,23.05,23.05,1.835
7.0,7.012,214,38,person,0.2428,30,1199,130,241,95.0,1319.5,31330,121.45,121.45,1.343
7.0,7.012,214,39,person,0.4302,1921,827,98,258,1970.0,956.0,25284,0.0,0.0,0.721
7.0,7.012,214,41,person,0.293,1797,961,100,305,1847.0,1113.5,30500,0.0,0.0,0.557
8.0,7.995,244,5,person,0.4635,1173,1309,131,131,1238.5,1374.5,17161,149.06,149.06,7.995
8.0,7.995,244,13,person,0.2273,1973,1062,100,278,2023.0,1201.0,27800,45.4,22.7,5.603
