sample_second,video_time_s,frame_index,track_id,label,confidence,bbox_x,bbox_y,bbox_width,bbox_height,center_x,center_y,area_px,displacement_px,speed_px_s,track_age_s
0.0,0.0,0,1,person,0.8863,643,255,97,180,691.5,345.0,17460,0.0,0.0,0.0
0.0,0.0,0,2,person,0.8724,844,237,85,163,886.5,318.5,13855,0.0,0.0,0.0
0.0,0.0,0,3,person,0.8275,771,267,61,135,801.5,334.5,8235,0.0,0.0,0.0
0.0,0.0,0,4,person,0.69,216,289,112,187,272.0,382.5,20944,0.0,0.0,0.0
0.0,0.0,0,5,person,0.6606,532,276,92,124,578.0,338.0,11408,0.0,0.0,0.0
0.0,0.0,0,6,person,0.6054,848,0,53,69,874.5,34.5,3657,0.0,0.0,0.0
0.0,0.0,0,7,person,0.5567,968,238,68,179,1002.0,327.5,12172,0.0,0.0,0.0
0.0,0.0,0,8,person,0.5494,404,277,91,174,449.5,364.0,15834,0.0,0.0,0.0
1.0,1.0,30,1,person,0.5465,643,250,63,157,674.5,328.5,9891,23.69,23.69,1.0
1.0,1.0,30,2,person,0.8704,807,223,67,175,840.5,310.5,11725,46.69,46.69,1.0
1.0,1.0,30,3,person,0.8085,721,254,58,147,750.0,327.5,8526,51.97,51.97,1.0
1.0,1.0,30,4,person,0.2606,187,280,100,186,237.0,373.0,18600,36.27,36.27,1.0
1.0,1.0,30,7,person,0.7742,911,220,57,187,939.5,313.5,10659,64.05,64.05,1.0
1.0,1.0,30,8,person,0.8471,387,274,67,166,420.5,357.0,11122,29.83,29.83,1.0
1.0,1.0,30,13,person,0.4848,202,288,60,176,232.0,376.0,10560,0.0,0.0,0.733
1.0,1.0,30,15,person,0.8262,498,278,75,154,535.5,355.0,11550,0.0,0.0,0.533
2.0,2.0,60,2,person,0.6748,768,198,110,179,823.0,287.5,19690,28.9,28.9,2.0
2.0,2.0,60,3,person,0.2578,738,234,45,145,760.5,306.5,6525,23.48,23.48,2.0
2.0,2.0,60,4,person,0.443,204,271,60,151,234.0,346.5,9060,26.67,26.67,2.0
2.0,2.0,60,7,person,0.7625,884,194,94,178,931.0,283.0,16732,31.66,31.66,2.0
2.0,2.0,60,8,person,0.6541,397,271,65,157,429.5,349.5,10205,11.72,11.72,2.0
2.0,2.0,60,13,person,0.6887,195,281,57,160,223.5,361.0,9120,17.24,17.24,1.733
2.0,2.0,60,15,person,0.8859,516,271,81,183,556.5,362.5,14823,22.3,22.3,1.533
3.0,3.0,90,2,person,0.3871,796,194,57,150,824.5,269.0,8550,18.56,18.56,3.0
3.0,3.0,90,3,person,0.4037,780,241,58,184,809.0,333.0,10672,55.27,55.27,3.0
3.0,3.0,90,4,person,0.6564,224,335,104,214,276.0,442.0,22256,104.33,104.33,3.0
3.0,3.0,90,7,person,0.7049,897,184,65,171,929.5,269.5,11115,13.58,13.58,3.0
3.0,3.0,90,13,person,0.4607,189,266,59,160,218.5,346.0,9440,15.81,15.81,2.733
3.0,3.0,90,15,person,0.7412,581,291,85,175,623.5,378.5,14875,68.88,68.88,2.533
3.0,3.0,90,36,person,0.7626,431,295,91,186,476.5,388.0,16926,0.0,0.0,1.367
3.0,3.0,90,45,person,0.5783,719,233,67,158,752.5,312.0,10586,0.0,0.0,0.233
4.0,4.0,120,1,person,0.7077,834,278,134,226,901.0,391.0,30284,234.96,78.32,4.0
4.0,4.0,120,2,person,0.3325,763,178,59,114,792.5,235.0,6726,46.69,46.69,4.0
4.0,4.0,120,3,person,0.4095,713,232,54,102,740.0,283.0,5508,85.21,85.21,4.0
4.0,4.0,120,4,person,0.8465,283,362,90,178,328.0,451.0,16020,52.77,52.77,4.0
4.0,4.0,120,5,person,0.2664,697,304,85,138,739.5,373.0,11730,165.25,41.31,4.0
4.0,4.0,120,7,person,0.5893,830,170,74,135,867.0,237.5,9990,70.22,70.22,4.0
4.0,4.0,120,8,person,0.6153,467,319,143,197,538.5,417.5,28171,128.47,64.24,4.0
4.0,4.0,120,13,person,0.5009,137,283,98,153,186.0,359.5,14994,35.19,35.19,3.733
4.0,4.0,120,49,person,0.2934,757,225,73,112,793.5,281.0,8176,0.0,0.0,0.733
4.0,4.0,120,51,person,0.7469,637,302,106,206,690.0,405.0,21836,0.0,0.0,0.367
5.0,5.0,150,2,person,0.295,763,167,101,176,813.5,255.0,17776,29.0,29.0,5.0
5.0,5.0,150,3,person,0.7142,712,169,79,184,751.5,261.0,14536,24.82,24.82,5.0
5.0,5.0,150,4,person,0.7137,419,375,78,148,458.0,449.0,11544,130.02,130.02,5.0
5.0,5.0,150,5,person,0.6645,793,298,68,144,827.0,370.0,9792,87.55,87.55,5.0
5.0,5.0,150,7,person,0.3333,781,158,95,137,828.5,226.5,13015,40.04,40.04,5.0
5.0,5.0,150,8,person,0.525,609,319,92,152,655.0,395.0,13984,118.65,118.65,5.0
5.0,5.0,150,13,person,0.7417,192,284,84,154,234.0,361.0,12936,48.02,48.02,4.733
5.0,5.0,150,59,person,0.6876,984,262,59,165,1013.5,344.5,9735,0.0,0.0,0.633
6.0,6.0,180,4,person,0.4593,440,417,110,172,495.0,503.0,18920,65.46,65.46,6.0
6.0,6.0,180,5,person,0.585,774,320,89,194,818.5,417.0,17266,47.76,47.76,6.0
6.0,6.0,180,7,person,0.5076,619,160,53,140,645.5,230.0,7420,183.03,183.03,6.0
6.0,6.0,180,8,person,0.263,606,317,88,182,650.0,408.0,16016,13.93,13.93,6.0
6.0,6.0,180,13,person,0.7856,138,336,92,158,184.0,415.0,14536,73.59,73.59,5.733
6.0,6.0,180,59,person,0.4683,945,277,87,164,988.5,359.0,14268,28.9,28.9,1.633
6.0,6.0,180,67,person,0.2217,387,416,167,189,470.5,510.5,31563,0.0,0.0,0.833
6.0,6.0,180,68,person,0.5231,557,187,69,125,591.5,249.5,8625,0.0,0.0,0.767
6.0,6.0,180,71,person,0.3957,612,255,73,100,648.5,305.0,7300,0.0,0.0,0.467
7.0,7.0,210,1,person,0.3268,937,241,127,189,1000.5,335.5,24003,113.93,37.98,7.0
7.0,7.0,210,3,person,0.5966,532,248,67,125,565.5,310.5,8375,192.47,96.24,7.0
7.0,7.0,210,4,person,0.3011,488,449,122,150,549.0,524.0,18300,57.94,57.94,7.0
7.0,7.0,210,5,person,0.8154,761,308,109,155,815.5,385.5,16895,31.64,31.64,7.0
7.0,7.0,210,8,person,0.4123,639,354,54,149,666.0,428.5,8046,26.0,26.0,7.0
7.0,7.0,210,13,person,0.4801,103,383,50,103,128.0,434.5,5150,59.3,59.3,6.733
7.0,7.0,210,59,person,0.2333,954,242,112,187,1010.0,335.5,20944,31.85,31.85,2.633
7.0,7.0,210,68,person,0.5576,432,194,101,141,482.5,264.5,14241,110.03,110.03,1.767
7.0,7.0,210,77,person,0.3906,575,114,75,120,612.5,174.0,9000,0.0,0.0,0.033
8.0,8.0,240,3,person,0.7936,695,227,57,147,723.5,300.5,8379,158.32,158.32,8.0
8.0,8.0,240,5,person,0.5401,991,271,142,188,1062.0,365.0,26696,247.35,247.35,8.0
8.0,8.0,240,7,person,0.2681,554,129,103,173,605.5,215.5,17819,42.55,21.27,8.0
8.0,8.0,240,8,person,0.5334,855,334,106,198,908.0,433.0,20988,242.04,242.04,8.0
8.0,8.0,240,59,person,0.7441,1138,166,95,191,1185.5,261.5,18145,190.46,190.46,3.633
8.0,8.0,240,68,person,0.7846,567,150,100,201,617.0,250.5,20100,135.23,135.23,2.767
8.0,8.0,240,72,person,0.3459,223,421,105,175,275.5,508.5,18375,0.0,0.0,0.867
8.0,8.0,240,78,person,0.2006,544,88,121,164,604.5,170.0,19844,0.0,0.0,1.033
8.0,8.0,240,98,person,0.2488,1047,636,74,84,1084.0,678.0,6216,0.0,0.0,0.233
8.0,8.0,240,101,person,0.2582,914,40,60,132,944.0,106.0,7920,0.0,0.0,0.033
9.0,9.0,270,2,person,0.4253,977,231,80,205,1017.0,333.5,16400,218.12,54.53,9.0
9.0,9.0,270,3,person,0.4889,581,227,59,167,610.5,310.5,9853,113.44,113.44,9.0
9.0,9.0,270,4,person,0.8412,745,423,71,212,780.5,529.0,15052,231.55,115.78,9.0
9.0,9.0,270,5,person,0.4285,971,232,87,206,1014.5,335.0,17922,56.18,56.18,9.0
9.0,9.0,270,7,person,0.6941,408,175,68,138,442.0,244.0,9384,165.97,165.97,9.0
9.0,9.0,270,8,person,0.8273,804,320,73,188,840.5,414.0,13724,70.12,70.12,9.0
9.0,9.0,270,59,person,0.5949,1031,108,80,166,1071.0,191.0,13280,134.46,134.46,4.633
9.0,9.0,270,68,person,0.7085,453,256,60,160,483.0,336.0,9600,158.95,158.95,3.767
9.0,9.0,270,72,person,0.5771,128,486,86,230,171.0,601.0,19780,139.56,139.56,1.867
9.0,9.0,270,105,person,0.3975,267,126,69,156,301.5,204.0,10764,0.0,0.0,0.867
9.0,9.0,270,106,person,0.2831,0,161,54,139,27.0,230.5,7506,0.0,0.0,0.867
9.0,9.0,270,109,person,0.2409,55,235,71,80,90.5,275.0,5680,0.0,0.0,0.0
9.0,9.0,270,120,person,0.2811,585,225,57,178,613.5,314.0,10146,0.0,0.0,0.433
9.0,9.0,270,121,person,0.3662,932,572,68,83,966.0,613.5,5644,0.0,0.0,0.367
9.0,9.0,270,127,person,0.3904,120,259,81,119,160.5,318.5,9639,0.0,0.0,0.067
9.0,9.0,270,128,person,0.3011,454,255,61,164,484.5,337.0,10004,0.0,0.0,0.0
10.0,10.0,300,3,person,0.6251,540,267,59,169,569.5,351.5,9971,57.98,57.98,10.0
10.0,10.0,300,4,person,0.2834,703,470,72,161,739.0,550.5,11592,46.74,46.74,10.0
10.0,10.0,300,7,person,0.2036,337,213,53,119,363.5,272.5,6307,83.51,83.51,10.0
10.0,10.0,300,8,person,0.7507,788,333,69,192,822.5,429.0,13248,23.43,23.43,10.0
10.0,10.0,300,59,person,0.2336,1005,92,71,172,1040.5,178.0,12212,33.15,33.15,5.633
10.0,10.0,300,68,person,0.2148,340,266,71,211,375.5,371.5,14981,113.21,113.21,4.767
10.0,10.0,300,72,person,0.6493,109,588,75,132,146.5,654.0,9900,58.39,58.39,2.867
10.0,10.0,300,138,person,0.6464,701,469,75,213,738.5,575.5,15975,0.0,0.0,0.467
10.0,10.0,300,149,person,0.5277,947,239,62,138,978.0,308.0,8556,0.0,0.0,0.033
11.0,11.0,330,2,person,0.8432,858,277,56,191,886.0,372.5,10696,136.68,68.34,11.0
11.0,11.0,330,3,person,0.8641,517,347,51,189,542.5,441.5,9639,93.96,93.96,11.0
11.0,11.0,330,4,person,0.7276,659,574,67,146,692.5,647.0,9782,107.12,107.12,11.0
11.0,11.0,330,7,person,0.5821,232,282,80,144,272.0,354.0,11520,122.53,122.53,11.0
11.0,11.0,330,8,person,0.8368,755,388,75,175,792.5,475.5,13125,55.34,55.34,11.0
11.0,11.0,330,59,person,0.7287,891,128,62,144,922.0,200.0,8928,120.52,120.52,6.633
11.0,11.0,330,68,person,0.7155,278,432,66,185,311.0,524.5,12210,166.04,166.04,5.767
11.0,11.0,330,155,person,0.5081,1142,541,68,109,1176.0,595.5,7412,0.0,0.0,0.633
11.0,11.0,330,156,person,0.7633,0,143,48,172,24.0,229.0,8256,0.0,0.0,0.533
