sample_second,video_time_s,frame_index,track_id,label,confidence,bbox_x,bbox_y,bbox_width,bbox_height,center_x,center_y,area_px,displacement_px,speed_px_s,track_age_s,tracking_state,missed_frames
1.0,1.0,30,1,person,0.8559,1498,568,84,256,1540.0,696.0,21504,0.0,0.0,1.0,detected,0
1.0,1.0,30,2,person,0.8549,462,1224,121,252,522.5,1350.0,30492,0.0,0.0,1.0,detected,0
1.0,1.0,30,3,person,0.825,437,303,92,277,483.0,441.5,25484,0.0,0.0,1.0,detected,0
1.0,1.0,30,4,person,0.1627,376,1413,139,241,445.5,1533.5,33499,0.0,0.0,1.0,detected,0
1.0,1.0,30,5,person,0.8245,1416,891,85,242,1458.5,1012.0,20570,0.0,0.0,1.0,detected,0
1.0,1.0,30,6,person,0.7606,1116,1004,122,242,1177.0,1125.0,29524,0.0,0.0,1.0,detected,0
1.0,1.0,30,7,person,0.6572,583,347,79,263,622.5,478.5,20777,0.0,0.0,1.0,detected,0
1.0,1.0,30,8,person,0.8054,1798,2955,155,258,1875.5,3084.0,39990,0.0,0.0,1.0,detected,0
1.0,1.0,30,9,person,0.5259,1357,530,60,203,1387.0,631.5,12180,0.0,0.0,1.0,detected,0
1.0,1.0,30,10,person,0.6928,525,1662,104,204,577.0,1764.0,21216,0.0,0.0,1.0,detected,0
1.0,1.0,30,11,person,0.7001,490,2173,115,218,547.5,2282.0,25070,0.0,0.0,1.0,detected,0
1.0,1.0,30,12,person,0.8269,1589,1164,130,254,1654.0,1291.0,33020,0.0,0.0,1.0,detected,0
1.0,1.0,30,13,person,0.7141,1379,393,68,242,1413.0,514.0,16456,0.0,0.0,1.0,detected,0
1.0,1.0,30,14,person,0.6878,473,2009,120,181,533.0,2099.5,21720,0.0,0.0,1.0,detected,0
1.0,1.0,30,15,person,0.6199,632,905,75,252,669.5,1031.0,18900,0.0,0.0,1.0,detected,0
1.0,1.0,30,17,person,0.7433,1417,181,101,289,1467.5,325.5,29189,0.0,0.0,1.0,detected,0
1.0,1.0,30,18,person,0.6724,630,244,77,241,668.5,364.5,18557,0.0,0.0,1.0,detected,0
1.0,1.0,30,19,person,0.6897,408,1277,76,130,446.0,1342.0,9880,0.0,0.0,1.0,detected,0
1.0,1.0,30,20,person,0.6872,1123,1555,130,164,1188.0,1637.0,21320,0.0,0.0,1.0,detected,0
1.0,1.0,30,21,person,0.1779,927,757,98,229,976.0,871.5,22442,0.0,0.0,1.0,predicted,1
1.0,1.0,30,22,person,0.6923,1082,246,72,244,1118.0,368.0,17568,0.0,0.0,1.0,detected,0
1.0,1.0,30,23,person,0.8637,1564,631,88,248,1608.0,755.0,21824,0.0,0.0,1.0,detected,0
1.0,1.0,30,24,person,0.6761,1501,1694,95,249,1548.5,1818.5,23655,0.0,0.0,1.0,detected,0
1.0,1.0,30,25,person,0.5022,1635,1,101,203,1685.5,102.5,20503,0.0,0.0,1.0,detected,0
1.0,1.0,30,26,person,0.3381,1178,1893,178,264,1267.0,2025.0,46992,0.0,0.0,1.0,detected,0
1.0,1.0,30,27,person,0.2236,406,1343,73,186,442.5,1436.0,13578,0.0,0.0,1.0,detected,0
1.0,1.0,30,28,person,0.4007,1519,12,77,182,1557.5,103.0,14014,0.0,0.0,1.0,detected,0
1.0,1.0,30,29,person,0.6193,1512,170,122,215,1573.0,277.5,26230,0.0,0.0,1.0,detected,0
1.0,1.0,30,30,person,0.3541,883,1189,93,219,929.5,1298.5,20367,0.0,0.0,1.0,detected,0
1.0,1.0,30,32,person,0.6042,851,285,77,239,889.5,404.5,18403,0.0,0.0,1.0,detected,0
1.0,1.0,30,34,person,0.1553,1125,1185,96,163,1173.0,1266.5,15648,0.0,0.0,1.0,detected,0
1.0,1.0,30,35,person,0.6426,752,3426,254,323,879.0,3587.5,82042,0.0,0.0,1.0,detected,0
1.0,1.0,30,37,person,0.7049,337,1527,114,291,394.0,1672.5,33174,0.0,0.0,1.0,detected,0
1.0,1.0,30,38,person,0.2693,606,2,97,184,654.5,94.0,17848,0.0,0.0,1.0,detected,0
1.0,1.0,30,39,person,0.2333,1006,3691,126,149,1069.0,3765.5,18774,0.0,0.0,1.0,detected,0
1.0,1.0,30,40,person,0.4488,1111,305,76,241,1149.0,425.5,18316,0.0,0.0,1.0,detected,0
1.0,1.0,30,41,person,0.3881,1057,3401,201,217,1157.5,3509.5,43617,0.0,0.0,1.0,detected,0
1.0,1.0,30,42,person,0.2264,1041,66,84,158,1083.0,145.0,13272,0.0,0.0,1.0,detected,0
1.0,1.0,30,43,person,0.3548,834,2257,129,114,898.5,2314.0,14706,0.0,0.0,1.0,detected,0
1.0,1.0,30,44,person,0.2905,322,1412,118,172,381.0,1498.0,20296,0.0,0.0,1.0,detected,0
1.0,1.0,30,45,person,0.3674,1504,2478,111,147,1559.5,2551.5,16317,0.0,0.0,1.0,detected,0
1.0,1.0,30,46,person,0.2172,1223,0,90,158,1268.0,79.0,14220,0.0,0.0,1.0,detected,0
1.0,1.0,30,47,person,0.162,965,43,52,201,991.0,143.5,10452,0.0,0.0,1.0,detected,0
1.0,1.0,30,48,person,0.2002,1464,2543,120,142,1524.0,2614.0,17040,0.0,0.0,1.0,detected,0
