sample_second,video_time_s,frame_index,track_id,label,confidence,bbox_x,bbox_y,bbox_width,bbox_height,center_x,center_y,area_px,displacement_px,speed_px_s,track_age_s,tracking_state,missed_frames
0.0,0.0,0,1,person,0.8519,449,1328,125,297,511.5,1476.5,37125,0.0,0.0,0.0,detected,0
0.0,0.0,0,2,person,0.8415,1762,2708,147,191,1835.5,2803.5,28077,0.0,0.0,0.0,detected,0
0.0,0.0,0,3,person,0.807,1505,609,79,236,1544.5,727.0,18644,0.0,0.0,0.0,detected,0
0.0,0.0,0,4,person,0.7927,396,1530,128,248,460.0,1654.0,31744,0.0,0.0,0.0,detected,0
0.0,0.0,0,5,person,0.7918,1585,1259,138,241,1654.0,1379.5,33258,0.0,0.0,0.0,detected,0
0.0,0.0,0,6,person,0.774,437,380,109,277,491.5,518.5,30193,0.0,0.0,0.0,detected,0
0.0,0.0,0,7,person,0.7657,1572,670,115,255,1629.5,797.5,29325,0.0,0.0,0.0,detected,0
0.0,0.0,0,8,person,0.7553,1131,1011,128,250,1195.0,1136.0,32000,0.0,0.0,0.0,detected,0
0.0,0.0,0,9,person,0.7354,577,414,102,265,628.0,546.5,27030,0.0,0.0,0.0,detected,0
0.0,0.0,0,10,person,0.7083,1354,353,83,229,1395.5,467.5,19007,0.0,0.0,0.0,detected,0
0.0,0.0,0,11,person,0.6858,363,1769,134,224,430.0,1881.0,30016,0.0,0.0,0.0,detected,0
0.0,0.0,0,12,person,0.6713,607,907,80,257,647.0,1035.5,20560,0.0,0.0,0.0,detected,0
0.0,0.0,0,13,person,0.671,1666,3076,156,183,1744.0,3167.5,28548,0.0,0.0,0.0,detected,0
0.0,0.0,0,14,person,0.6643,1350,947,89,235,1394.5,1064.5,20915,0.0,0.0,0.0,detected,0
0.0,0.0,0,15,person,0.6543,1418,892,86,242,1461.0,1013.0,20812,0.0,0.0,0.0,detected,0
0.0,0.0,0,16,person,0.6502,628,1694,103,232,679.5,1810.0,23896,0.0,0.0,0.0,detected,0
0.0,0.0,0,17,person,0.6335,500,1921,119,197,559.5,2019.5,23443,0.0,0.0,0.0,detected,0
0.0,0.0,0,18,person,0.6238,670,862,109,327,724.5,1025.5,35643,0.0,0.0,0.0,detected,0
0.0,0.0,0,19,person,0.6224,1500,1695,98,248,1549.0,1819.0,24304,0.0,0.0,0.0,detected,0
0.0,0.0,0,20,person,0.6192,1381,616,64,216,1413.0,724.0,13824,0.0,0.0,0.0,detected,0
0.0,0.0,0,21,person,0.6074,1177,1884,190,277,1272.0,2022.5,52630,0.0,0.0,0.0,detected,0
0.0,0.0,0,22,person,0.5989,752,3426,255,324,879.5,3588.0,82620,0.0,0.0,0.0,detected,0
0.0,0.0,0,23,person,0.5975,526,1654,107,212,579.5,1760.0,22684,0.0,0.0,0.0,detected,0
0.0,0.0,0,24,person,0.5765,1063,3400,196,219,1161.0,3509.5,42924,0.0,0.0,0.0,detected,0
0.0,0.0,0,25,person,0.5211,1421,233,97,283,1469.5,374.5,27451,0.0,0.0,0.0,detected,0
0.0,0.0,0,26,person,0.511,390,1386,84,174,432.0,1473.0,14616,0.0,0.0,0.0,detected,0
0.0,0.0,0,27,person,0.5028,522,2075,126,230,585.0,2190.0,28980,0.0,0.0,0.0,detected,0
0.0,0.0,0,28,person,0.4937,1962,2618,189,187,2056.5,2711.5,35343,0.0,0.0,0.0,detected,0
0.0,0.0,0,29,person,0.4819,634,1603,98,147,683.0,1676.5,14406,0.0,0.0,0.0,detected,0
0.0,0.0,0,30,person,0.4369,949,736,94,248,996.0,860.0,23312,0.0,0.0,0.0,detected,0
0.0,0.0,0,31,person,0.4309,1125,1557,145,165,1197.5,1639.5,23925,0.0,0.0,0.0,detected,0
0.0,0.0,0,32,person,0.4237,1601,44,120,239,1661.0,163.5,28680,0.0,0.0,0.0,detected,0
0.0,0.0,0,33,person,0.4233,605,185,69,250,639.5,310.0,17250,0.0,0.0,0.0,detected,0
0.0,0.0,0,34,person,0.3865,1648,552,91,349,1693.5,726.5,31759,0.0,0.0,0.0,detected,0
0.0,0.0,0,35,person,0.3668,1508,212,95,233,1555.5,328.5,22135,0.0,0.0,0.0,detected,0
0.0,0.0,0,36,person,0.3576,1547,0,98,207,1596.0,103.5,20286,0.0,0.0,0.0,detected,0
0.0,0.0,0,37,person,0.345,881,1168,95,247,928.5,1291.5,23465,0.0,0.0,0.0,detected,0
0.0,0.0,0,38,person,0.3182,1407,1814,115,199,1464.5,1913.5,22885,0.0,0.0,0.0,detected,0
