sample_second,video_time_s,frame_index,track_id,label,confidence,bbox_x,bbox_y,bbox_width,bbox_height,center_x,center_y,area_px,displacement_px,speed_px_s,track_age_s
0.0,0.0,0,1,person,0.4355,694,478,24,57,706.0,506.5,1368,0.0,0.0,0.0
0.0,0.0,0,2,person,0.3532,841,802,35,93,858.5,848.5,3255,0.0,0.0,0.0
0.0,0.0,0,3,person,0.3011,891,746,34,77,908.0,784.5,2618,0.0,0.0,0.0
1.0,1.0,30,1,person,0.2773,685,493,25,60,697.5,523.0,1500,18.56,18.56,1.0
1.0,1.0,30,2,person,0.4731,870,793,42,102,891.0,844.0,4284,32.81,32.81,1.0
1.0,1.0,30,4,person,0.2877,643,474,24,57,655.0,502.5,1368,0.0,0.0,0.767
1.0,1.0,30,13,person,0.2649,699,665,39,66,718.5,698.0,2574,0.0,0.0,0.367
1.0,1.0,30,17,person,0.3744,570,600,30,68,585.0,634.0,2040,0.0,0.0,0.233
1.0,1.0,30,19,person,0.3347,771,737,37,154,789.5,814.0,5698,0.0,0.0,0.2
1.0,1.0,30,20,person,0.2542,1201,498,33,67,1217.5,531.5,2211,0.0,0.0,0.133
1.0,1.0,30,21,person,0.2689,231,463,26,51,244.0,488.5,1326,0.0,0.0,0.067
2.0,2.0,60,4,person,0.2214,671,452,24,60,683.0,482.0,1440,34.7,34.7,1.767
2.0,2.0,60,13,person,0.2113,648,658,42,81,669.0,698.5,3402,49.5,49.5,1.367
2.0,2.0,60,16,person,0.3424,537,562,34,73,554.0,598.5,2482,0.0,0.0,1.267
2.0,2.0,60,17,person,0.2455,594,567,30,59,609.0,596.5,1770,44.52,44.52,1.233
2.0,2.0,60,19,person,0.3044,789,742,32,67,805.0,775.5,2144,41.5,41.5,1.2
2.0,2.0,60,20,person,0.2132,1209,495,28,65,1223.0,527.5,1820,6.8,6.8,1.133
2.0,2.0,60,21,person,0.2972,233,461,26,53,246.0,487.5,1378,2.24,2.24,1.067
2.0,2.0,60,22,person,0.2595,523,714,36,65,541.0,746.5,2340,0.0,0.0,0.733
3.0,3.0,90,1,person,0.3418,666,535,28,63,680.0,566.5,1764,0.0,0.0,0.167
3.0,3.0,90,28,person,0.2659,815,393,23,69,826.5,427.5,1587,0.0,0.0,0.7
3.0,3.0,90,31,person,0.2137,488,588,26,68,501.0,622.0,1768,0.0,0.0,0.367
3.0,3.0,90,33,person,0.2103,621,535,25,60,633.5,565.0,1500,0.0,0.0,0.233
4.0,4.0,120,8,person,0.3104,873,656,36,83,891.0,697.5,2988,0.0,0.0,2.467
4.0,4.0,120,12,person,0.3557,667,703,26,71,680.0,738.5,1846,0.0,0.0,0.533
4.0,4.0,120,20,person,0.2396,1213,493,27,62,1226.5,524.0,1674,4.95,2.47,3.133
4.0,4.0,120,31,person,0.3205,505,555,30,64,520.0,587.0,1920,39.82,39.82,1.367
4.0,4.0,120,35,person,0.3597,442,636,36,68,460.0,670.0,2448,0.0,0.0,0.833
4.0,4.0,120,36,person,0.3582,888,811,35,79,905.5,850.5,2765,0.0,0.0,0.733
4.0,4.0,120,39,person,0.2013,486,695,34,80,503.0,735.0,2720,0.0,0.0,0.633
4.0,4.0,120,46,person,0.2498,1076,661,27,70,1089.5,696.0,1890,0.0,0.0,0.2
4.0,4.0,120,48,person,0.2487,475,534,30,66,490.0,567.0,1980,0.0,0.0,0.0
5.0,5.0,150,1,person,0.4078,635,557,27,61,648.5,587.5,1647,0.0,0.0,0.233
5.0,5.0,150,8,person,0.3196,814,648,34,75,831.0,685.5,2550,61.19,61.19,3.467
5.0,5.0,150,12,person,0.4022,737,699,27,78,750.5,738.0,2106,70.5,70.5,1.533
