sample_second,video_time_s,frame_index,track_id,label,confidence,bbox_x,bbox_y,bbox_width,bbox_height,center_x,center_y,area_px,displacement_px,speed_px_s,track_age_s,tracking_state,missed_frames
0.0,0.0,0,1,person,0.9356,710,407,129,286,774.5,550.0,36894,0.0,0.0,0.0,detected,0
0.0,0.0,0,2,person,0.934,252,288,150,290,327.0,433.0,43500,0.0,0.0,0.0,detected,0
0.0,0.0,0,3,person,0.928,495,346,160,272,575.0,482.0,43520,0.0,0.0,0.0,detected,0
0.0,0.0,0,4,person,0.8802,156,468,143,237,227.5,586.5,33891,0.0,0.0,0.0,detected,0
0.0,0.0,0,5,person,0.8574,0,489,70,160,35.0,569.0,11200,0.0,0.0,0.0,detected,0
0.0,0.0,0,6,person,0.8361,654,208,59,171,683.5,293.5,10089,0.0,0.0,0.0,detected,0
0.0,0.0,0,7,person,0.8294,620,117,19,61,629.5,147.5,1159,0.0,0.0,0.0,detected,0
0.0,0.0,0,8,person,0.7349,675,647,106,72,728.0,683.0,7632,0.0,0.0,0.0,detected,0
0.0,0.0,0,9,person,0.6921,1043,251,66,166,1076.0,334.0,10956,0.0,0.0,0.0,detected,0
0.0,0.0,0,10,person,0.4516,1048,151,18,43,1057.0,172.5,774,0.0,0.0,0.0,detected,0
0.0,0.0,0,11,person,0.4366,1107,208,38,121,1126.0,268.5,4598,0.0,0.0,0.0,detected,0
0.0,0.0,0,12,person,0.4125,269,100,15,32,276.5,116.0,480,0.0,0.0,0.0,detected,0
0.0,0.0,0,13,person,0.3225,877,103,12,27,883.0,116.5,324,0.0,0.0,0.0,detected,0
0.0,0.0,0,14,person,0.2706,170,127,17,50,178.5,152.0,850,0.0,0.0,0.0,detected,0
1.0,1.0,30,1,person,0.3234,496,620,129,99,560.5,669.5,12771,245.1,245.1,1.0,detected,0
1.0,1.0,30,2,person,0.9241,449,247,129,275,513.5,384.5,35475,192.7,192.7,1.0,detected,0
1.0,1.0,30,3,person,0.9193,280,437,160,281,360.0,577.5,44960,235.26,235.26,1.0,detected,0
1.0,1.0,30,4,person,0.9342,64,415,180,262,154.0,546.0,47160,83.92,83.92,1.0,detected,0
1.0,1.0,30,5,person,0.3184,150,295,87,155,193.5,372.5,13485,252.46,252.46,1.0,predicted,5
1.0,1.0,30,6,person,0.5423,532,228,66,183,565.0,319.5,12078,121.32,121.32,1.0,detected,0
1.0,1.0,30,7,person,0.8465,632,122,26,61,645.0,152.5,1586,16.29,16.29,1.0,detected,0
1.0,1.0,30,9,person,0.4439,1042,212,80,205,1082.0,314.5,16400,20.4,20.4,1.0,detected,0
1.0,1.0,30,10,person,0.1568,1053,150,17,48,1061.5,174.0,816,4.74,4.74,1.0,predicted,3
1.0,1.0,30,12,person,0.4484,162,117,23,61,173.5,147.5,1403,107.71,107.71,1.0,predicted,1
1.0,1.0,30,14,person,0.2493,239,98,13,23,245.5,109.5,299,79.34,79.34,1.0,detected,0
1.0,1.0,30,15,person,0.2612,1096,203,38,90,1115.0,248.0,3420,0.0,0.0,1.0,detected,0
1.0,1.0,30,16,person,0.2657,558,75,7,19,561.5,84.5,133,0.0,0.0,0.933,detected,0
1.0,1.0,30,19,person,0.8218,2,499,117,213,60.5,605.5,24921,0.0,0.0,0.733,detected,0
1.0,1.0,30,20,person,0.1793,781,99,14,43,788.0,120.5,602,0.0,0.0,0.733,detected,0
1.0,1.0,30,21,person,0.1558,550,76,10,19,555.0,85.5,190,0.0,0.0,0.7,predicted,1
1.0,1.0,30,23,person,0.6526,366,96,13,40,372.5,116.0,520,0.0,0.0,0.633,detected,0
1.0,1.0,30,25,person,0.2009,528,87,15,27,535.5,100.5,405,0.0,0.0,0.633,detected,0
1.0,1.0,30,26,person,0.2966,259,93,15,27,266.5,106.5,405,0.0,0.0,0.533,detected,0
1.0,1.0,30,28,person,0.1986,332,91,15,36,339.5,109.0,540,0.0,0.0,0.5,detected,0
1.0,1.0,30,30,person,0.611,1135,158,24,69,1147.0,192.5,1656,0.0,0.0,0.467,detected,0
1.0,1.0,30,37,person,0.3068,279,87,10,22,284.0,98.0,220,0.0,0.0,0.033,detected,0
1.0,1.0,30,39,person,0.2277,654,108,24,56,666.0,136.0,1344,0.0,0.0,0.0,detected,0
2.0,2.0,60,2,person,0.9403,600,222,116,239,658.0,341.5,27724,150.76,150.76,2.0,detected,0
2.0,2.0,60,3,person,0.5247,53,585,145,133,125.5,651.5,19285,245.9,245.9,2.0,detected,0
2.0,2.0,60,4,person,0.9381,227,421,136,285,295.0,563.5,38760,142.08,142.08,2.0,detected,0
2.0,2.0,60,6,person,0.8997,373,266,90,228,418.0,380.0,20520,158.96,158.96,2.0,detected,0
2.0,2.0,60,7,person,0.8718,664,126,30,61,679.0,156.5,1830,34.23,34.23,2.0,detected,0
2.0,2.0,60,9,person,0.8424,1042,236,69,182,1076.5,327.0,12558,13.66,13.66,2.0,detected,0
2.0,2.0,60,10,person,0.2352,918,98,14,34,925.0,115.0,476,148.71,148.71,2.0,predicted,5
2.0,2.0,60,12,person,0.1614,287,91,17,37,295.5,109.5,629,127.78,127.78,2.0,predicted,1
2.0,2.0,60,13,person,0.7748,876,107,14,43,883.0,128.5,602,12.0,6.0,2.0,detected,0
2.0,2.0,60,14,person,0.6641,270,103,19,41,279.5,123.5,779,36.77,36.77,2.0,detected,0
2.0,2.0,60,16,person,0.1791,557,74,7,19,560.5,83.5,133,1.41,1.41,1.933,predicted,13
2.0,2.0,60,19,person,0.1623,-39,728,25,78,-26.5,767.0,1950,183.44,183.44,1.733,predicted,12
2.0,2.0,60,20,person,0.4988,786,98,15,42,793.5,119.0,630,5.7,5.7,1.733,detected,0
2.0,2.0,60,21,person,0.7446,573,80,12,26,579.0,93.0,312,25.14,25.14,1.7,detected,0
2.0,2.0,60,23,person,0.2676,374,95,14,37,381.0,113.5,518,8.86,8.86,1.633,detected,0
2.0,2.0,60,25,person,0.171,526,84,15,30,533.5,99.0,450,2.5,2.5,1.633,detected,0
2.0,2.0,60,26,person,0.4316,255,91,19,40,264.5,111.0,760,4.92,4.92,1.533,detected,0
2.0,2.0,60,28,person,0.1901,321,87,10,39,326.0,106.5,390,13.73,13.73,1.5,detected,0
2.0,2.0,60,30,person,0.3634,1166,114,16,32,1174.0,130.0,512,68.08,68.08,1.467,detected,0
2.0,2.0,60,31,person,0.1641,505,92,100,209,555.0,196.5,20900,0.0,0.0,1.433,predicted,12
2.0,2.0,60,37,person,0.2024,349,93,15,34,356.5,110.0,510,73.49,73.49,1.033,detected,0
2.0,2.0,60,41,person,0.5583,798,96,14,35,805.0,113.5,490,0.0,0.0,0.967,detected,0
2.0,2.0,60,55,person,0.7424,821,99,18,36,830.0,117.0,648,0.0,0.0,0.5,detected,0
2.0,2.0,60,56,person,0.157,305,91,10,36,310.0,109.0,360,0.0,0.0,0.467,detected,0
2.0,2.0,60,57,person,0.191,909,101,12,33,915.0,117.5,396,0.0,0.0,0.433,predicted,1
3.0,3.0,90,2,person,0.9371,720,201,99,206,769.5,304.0,20394,117.64,117.64,3.0,detected,0
3.0,3.0,90,4,person,0.9247,413,482,130,236,478.0,600.0,30680,186.6,186.6,3.0,detected,0
3.0,3.0,90,6,person,0.9353,178,329,118,259,237.0,458.5,30562,197.29,197.29,3.0,detected,0
3.0,3.0,90,7,person,0.8284,709,131,20,57,719.0,159.5,1140,40.11,40.11,3.0,detected,0
3.0,3.0,90,10,person,0.281,865,95,11,32,870.5,111.0,352,54.65,54.65,3.0,detected,0
3.0,3.0,90,13,person,0.8573,884,111,16,45,892.0,133.5,720,10.3,10.3,3.0,detected,0
3.0,3.0,90,14,person,0.6262,273,102,16,41,281.0,122.5,656,1.8,1.8,3.0,detected,0
3.0,3.0,90,15,person,0.7619,1042,242,71,176,1077.5,330.0,12496,90.17,45.08,3.0,detected,0
3.0,3.0,90,16,person,0.3693,586,81,10,20,591.0,91.0,200,31.41,31.41,2.933,detected,0
3.0,3.0,90,20,person,0.3267,799,97,13,38,805.5,116.0,494,12.37,12.37,2.733,detected,0
3.0,3.0,90,21,person,0.5425,562,77,10,30,567.0,92.0,300,12.04,12.04,2.7,detected,0
3.0,3.0,90,23,person,0.313,338,89,8,33,342.0,105.5,264,39.81,39.81,2.633,detected,0
3.0,3.0,90,25,person,0.4681,524,83,14,32,531.0,99.0,448,2.5,2.5,2.633,detected,0
3.0,3.0,90,26,person,0.3255,256,107,15,39,263.5,126.5,585,15.53,15.53,2.533,detected,0
3.0,3.0,90,28,person,0.3493,320,88,10,38,325.0,107.0,380,1.12,1.12,2.5,detected,0
3.0,3.0,90,30,person,0.8473,1099,150,24,62,1111.0,181.0,1488,81.06,81.06,2.467,detected,0
3.0,3.0,90,37,person,0.5843,356,94,12,34,362.0,111.0,408,5.59,5.59,2.033,detected,0
3.0,3.0,90,39,person,0.8376,743,165,18,59,752.0,194.5,1062,104.01,52.01,2.0,predicted,15
3.0,3.0,90,41,person,0.1547,763,101,13,43,769.5,122.5,559,36.62,36.62,1.967,predicted,1
3.0,3.0,90,44,person,0.156,788,92,13,34,794.5,109.0,442,0.0,0.0,1.733,predicted,4
3.0,3.0,90,55,person,0.5601,817,100,12,33,823.0,116.5,396,7.02,7.02,1.5,detected,0
3.0,3.0,90,56,person,0.3203,299,89,14,38,306.0,108.0,532,4.12,4.12,1.467,detected,0
3.0,3.0,90,63,person,0.4875,2,236,28,115,16.0,293.5,3220,0.0,0.0,0.9,detected,0
3.0,3.0,90,75,person,0.8796,1014,213,64,181,1046.0,303.5,11584,0.0,0.0,0.533,detected,0
3.0,3.0,90,76,person,0.1775,654,108,25,56,666.5,136.0,1400,0.0,0.0,0.533,predicted,2
3.0,3.0,90,77,person,0.6244,1066,150,17,49,1074.5,174.5,833,0.0,0.0,0.333,detected,0
3.0,3.0,90,78,person,0.6205,1039,152,22,52,1050.0,178.0,1144,0.0,0.0,0.233,detected,0
4.0,4.0,120,2,person,0.9355,797,187,78,181,836.0,277.5,14118,71.59,71.59,4.0,detected,0
4.0,4.0,120,4,person,0.9315,626,500,165,217,708.5,608.5,35805,230.66,230.66,4.0,detected,0
4.0,4.0,120,6,person,0.3177,0,405,109,237,54.5,523.5,25833,193.73,193.73,4.0,detected,0
4.0,4.0,120,7,person,0.8653,740,132,28,60,754.0,162.0,1680,35.09,35.09,4.0,detected,0
4.0,4.0,120,9,person,0.8858,1043,233,73,185,1079.5,325.5,13505,3.35,1.68,4.0,detected,0
4.0,4.0,120,10,person,0.3442,865,95,11,32,870.5,111.0,352,0.0,0.0,4.0,detected,0
4.0,4.0,120,13,person,0.8691,890,114,16,45,898.0,136.5,720,6.71,6.71,4.0,detected,0
4.0,4.0,120,14,person,0.6475,271,103,18,40,280.0,123.0,720,1.12,1.12,4.0,detected,0
4.0,4.0,120,16,person,0.2711,586,80,10,21,591.0,90.5,210,0.5,0.5,3.933,detected,0
4.0,4.0,120,20,person,0.6978,815,95,13,34,821.5,112.0,442,16.49,16.49,3.733,detected,0
4.0,4.0,120,21,person,0.1794,520,84,14,28,527.0,98.0,392,40.45,40.45,3.7,predicted,1
4.0,4.0,120,25,person,0.2463,561,73,10,25,566.0,85.5,250,37.51,37.51,3.633,detected,0
4.0,4.0,120,26,person,0.2307,256,107,15,39,263.5,126.5,585,0.0,0.0,3.533,detected,0
4.0,4.0,120,28,person,0.2041,319,89,11,37,324.5,107.5,407,0.71,0.71,3.5,predicted,1
4.0,4.0,120,30,person,0.8562,1088,143,25,62,1100.5,174.0,1550,12.62,12.62,3.467,detected,0
