sample_second,video_time_s,frame_index,track_id,label,confidence,bbox_x,bbox_y,bbox_width,bbox_height,center_x,center_y,area_px,displacement_px,speed_px_s,track_age_s,tracking_state,missed_frames
0.0,0.0,0,0,person,1.0,235.925,770.142,135.621,309.858,303.736,925.071,42023.252,0.0,0.0,0.0,detected,0
0.0,0.0,0,1,person,1.0,285.748,291.418,84.808,201.996,328.152,392.416,17130.877,0.0,0.0,0.0,detected,0
0.0,0.0,0,2,person,1.0,286.849,230.501,78.945,185.909,326.322,323.456,14676.586,0.0,0.0,0.0,detected,0
0.0,0.0,0,3,person,1.0,719.708,220.83,67.185,187.315,753.301,314.488,12584.758,0.0,0.0,0.0,detected,0
0.0,0.0,0,4,person,1.0,793.722,235.41,67.708,192.217,827.576,331.519,13014.629,0.0,0.0,0.0,detected,0
0.0,0.0,0,5,person,1.0,876.425,392.142,79.919,236.274,916.385,510.279,18882.782,0.0,0.0,0.0,detected,0
0.0,0.0,0,6,person,1.0,656.185,994.592,135.396,85.408,723.883,1037.296,11563.902,0.0,0.0,0.0,detected,0
0.0,0.0,0,7,person,1.0,1607.143,601.733,109.953,291.066,1662.12,747.266,32003.58,0.0,0.0,0.0,detected,0
0.0,0.0,0,8,person,1.0,1615.588,890.117,132.513,189.883,1681.845,985.058,25161.966,0.0,0.0,0.0,detected,0
0.0,0.0,0,9,person,1.0,1790.455,174.285,86.997,185.168,1833.954,266.869,16109.06,0.0,0.0,0.0,detected,0
0.0,0.0,0,10,person,1.0,1645.396,113.399,68.311,164.474,1679.552,195.636,11235.383,0.0,0.0,0.0,detected,0
0.0,0.0,0,11,person,1.0,1459.905,28.546,51.799,138.465,1485.804,97.778,7172.349,0.0,0.0,0.0,detected,0
0.0,0.0,0,12,person,1.0,1361.498,10.463,47.33,132.185,1385.163,76.555,6256.316,0.0,0.0,0.0,detected,0
0.0,0.0,0,13,person,1.0,890.294,73.968,52.647,146.735,916.618,147.335,7725.158,0.0,0.0,0.0,detected,0
1.0,1.0,25,0,person,1.0,21.013,904.138,159.554,175.862,100.79,992.069,28059.486,213.719,213.719,1.0,detected,0
1.0,1.0,25,1,person,1.0,142.319,344.066,98.626,215.884,191.632,452.008,21291.775,148.959,148.959,1.0,detected,0
1.0,1.0,25,2,person,1.0,382.231,195.282,71.705,176.797,418.083,283.68,12677.229,100.012,100.012,1.0,detected,0
1.0,1.0,25,3,person,1.0,804.505,188.054,63.38,178.784,836.195,277.446,11331.33,90.794,90.794,1.0,detected,0
1.0,1.0,25,4,person,1.0,870.406,199.966,63.722,182.706,902.267,291.319,11642.392,84.822,84.822,1.0,detected,0
1.0,1.0,25,5,person,1.0,777.582,457.047,87.649,252.286,821.407,583.19,22112.616,119.737,119.737,1.0,detected,0
1.0,1.0,25,6,person,1.0,774.221,865.627,121.322,214.373,834.882,972.813,26008.161,128.37,128.37,1.0,detected,0
1.0,1.0,25,7,person,1.0,1617.914,693.794,118.921,317.613,1677.374,852.601,37770.856,106.433,106.433,1.0,detected,0
1.0,1.0,25,10,person,1.0,1640.762,87.434,65.987,157.958,1673.755,166.413,10423.175,29.792,29.792,1.0,detected,0
1.0,1.0,25,11,person,1.0,1483.407,6.911,51.163,133.493,1508.988,73.657,6829.902,33.456,33.456,1.0,detected,0
1.0,1.0,25,13,person,1.0,943.978,57.811,50.809,142.446,969.382,129.034,7237.539,55.849,55.849,1.0,detected,0
1.0,1.0,25,14,person,1.0,1808.478,303.51,100.286,217.49,1858.621,412.255,21811.202,0.0,0.0,0.68,detected,0
1.0,1.0,25,15,person,1.0,1736.48,633.916,122.297,304.515,1797.629,786.174,37241.271,0.0,0.0,0.36,detected,0
2.0,2.0,50,1,person,1.0,0.0,401.542,92.495,233.316,46.248,518.2,21580.563,159.744,159.744,2.0,detected,0
2.0,2.0,50,2,person,1.0,466.544,163.077,66.169,168.554,499.628,247.354,11153.05,89.27,89.27,2.0,detected,0
2.0,2.0,50,3,person,1.0,882.866,161.27,60.246,171.671,912.989,247.106,10342.491,82.57,82.57,2.0,detected,0
2.0,2.0,50,4,person,1.0,942.39,171.63,60.46,174.981,972.62,259.12,10579.351,77.371,77.371,2.0,detected,0
2.0,2.0,50,5,person,1.0,665.722,527.484,96.6,268.533,714.022,661.751,25940.288,133.053,133.053,2.0,detected,0
2.0,2.0,50,6,person,1.0,869.733,754.616,108.577,322.495,924.021,915.864,35015.54,105.779,105.779,2.0,detected,0
2.0,2.0,50,7,person,1.0,1653.494,805.087,129.559,274.913,1718.274,942.543,35617.453,98.805,98.805,2.0,detected,0
2.0,2.0,50,10,person,1.0,1644.319,63.287,64.434,152.263,1676.536,139.418,9810.914,27.137,27.137,2.0,detected,0
2.0,2.0,50,13,person,1.0,989.53,42.056,49.064,138.233,1014.062,111.172,6782.264,48.117,48.117,2.0,detected,0
2.0,2.0,50,15,person,1.0,1659.312,720.331,123.569,327.642,1721.097,884.152,40486.394,124.326,124.326,1.36,detected,0
2.0,2.0,50,16,person,1.0,1092.034,0.0,44.153,121.131,1114.111,60.566,5348.297,0.0,0.0,0.16,detected,0
3.0,3.0,75,2,person,1.0,541.152,135.204,61.892,161.425,572.098,215.917,9990.916,78.995,78.995,3.0,detected,0
3.0,3.0,75,3,person,1.0,957.757,130.475,56.825,163.223,986.169,212.087,9275.147,81.128,81.128,3.0,detected,0
3.0,3.0,75,4,person,1.0,1011.486,140.116,56.99,166.203,1039.981,223.218,9471.909,76.332,76.332,3.0,detected,0
3.0,3.0,75,5,person,1.0,542.432,614.966,108.409,288.182,596.637,759.057,31241.522,152.473,152.473,3.0,detected,0
3.0,3.0,75,6,person,1.0,957.583,663.767,98.017,302.533,1006.591,815.034,29653.377,130.325,130.325,3.0,detected,0
3.0,3.0,75,10,person,1.0,1650.938,40.791,63.251,147.162,1682.564,114.372,9308.144,25.762,25.762,3.0,detected,0
3.0,3.0,75,13,person,1.0,1052.594,25.827,47.089,134.003,1076.139,92.829,6310.067,64.73,64.73,3.0,detected,0
3.0,3.0,75,15,person,1.0,1607.258,834.521,129.04,245.479,1671.778,957.26,31676.61,88.188,88.188,2.36,detected,0
3.0,3.0,75,16,person,1.0,1040.2,13.858,46.219,130.627,1063.31,79.172,6037.449,54.101,54.101,1.16,detected,0
4.0,4.0,100,2,person,1.0,614.254,109.162,58.22,154.742,643.364,186.533,9009.079,77.086,77.086,4.0,detected,0
