input_mode,data_split,zone,samples,model_mae,model_rmse,persistence_mae,mae_improvement
ground_truth_input,train,all,370,0.948,1.3136,0.9865,0.0385
ground_truth_input,train,far,74,0.89,1.2189,0.8243,-0.0657
ground_truth_input,train,upper_mid,74,1.1354,1.5583,1.1892,0.0538
ground_truth_input,train,middle,74,1.1458,1.4917,1.3784,0.2326
ground_truth_input,train,lower_mid,74,0.9463,1.2649,0.9459,-0.0004
ground_truth_input,train,near,74,0.6224,0.9428,0.5946,-0.0278
ground_truth_input,validation,all,120,0.9098,1.1903,0.9417,0.0319
ground_truth_input,validation,far,24,1.1527,1.4499,1.2917,0.139
ground_truth_input,validation,upper_mid,24,1.0536,1.2402,1.1667,0.1131
ground_truth_input,validation,middle,24,1.0477,1.3408,1.0833,0.0357
ground_truth_input,validation,lower_mid,24,0.6854,0.9198,0.5833,-0.1021
ground_truth_input,validation,near,24,0.6097,0.8943,0.5833,-0.0263
ground_truth_input,test,all,125,0.7973,1.1949,0.752,-0.0453
ground_truth_input,test,far,25,0.5331,0.6705,0.36,-0.1731
ground_truth_input,test,upper_mid,25,0.7813,0.9932,0.64,-0.1413
ground_truth_input,test,middle,25,0.727,0.9833,0.76,0.033
ground_truth_input,test,lower_mid,25,1.013,1.6575,1.04,0.027
ground_truth_input,test,near,25,0.9324,1.41,0.96,0.0276
tracker_input,train,all,370,1.2478,1.6991,1.6568,0.409
tracker_input,train,far,74,1.5767,1.9874,2.5676,0.9909
tracker_input,train,upper_mid,74,1.2322,1.6622,1.2703,0.038
tracker_input,train,middle,74,1.4737,1.9613,2.2432,0.7696
tracker_input,train,lower_mid,74,1.1315,1.6012,1.1757,0.0441
tracker_input,train,near,74,0.8247,1.1448,1.027,0.2023
tracker_input,validation,all,120,0.9421,1.1949,1.3917,0.4496
tracker_input,validation,far,24,0.9461,1.1359,2.5,1.5539
tracker_input,validation,upper_mid,24,1.1987,1.3749,1.2083,0.0096
tracker_input,validation,middle,24,1.1973,1.2986,1.7083,0.511
tracker_input,validation,lower_mid,24,0.6245,0.9595,0.5833,-0.0412
tracker_input,validation,near,24,0.7438,1.1625,0.9583,0.2145
tracker_input,test,all,125,1.0959,1.6446,1.664,0.5681
tracker_input,test,far,25,0.8812,1.0899,2.08,1.1988
tracker_input,test,upper_mid,25,0.9754,1.4158,0.96,-0.0154
tracker_input,test,middle,25,0.934,1.2644,2.12,1.186
tracker_input,test,lower_mid,25,1.2541,2.1099,1.36,0.1059
tracker_input,test,near,25,1.4348,2.0688,1.8,0.3652
