data_split,zone,samples,mae,rmse,rounded_mae,exact_accuracy,within_one_accuracy,persistence_mae,projection_mae,persistence_exact_accuracy,persistence_within_one_accuracy,projection_exact_accuracy,projection_within_one_accuracy,total_count_mae,persistence_total_count_mae,projection_total_count_mae
train_validation,all,1392,0.669279,0.952079,0.618535,0.525144,0.881466,0.729167,0.621408,0.460489,0.851293,0.523707,0.880029,1.51488,1.478448,1.478448
train_validation,far_left,232,0.930551,1.226385,0.887931,0.383621,0.788793,1.008621,0.887931,0.297414,0.788793,0.383621,0.788793,,,
train_validation,far_center,232,0.530825,0.814394,0.512931,0.573276,0.935345,0.564655,0.512931,0.512931,0.926724,0.573276,0.935345,,,
train_validation,far_right,232,0.538615,0.790806,0.491379,0.586207,0.926724,0.62069,0.491379,0.525862,0.866379,0.586207,0.926724,,,
train_validation,near_left,232,0.721731,0.968368,0.668103,0.487069,0.857759,0.780172,0.668103,0.426724,0.823276,0.487069,0.857759,,,
train_validation,near_center,232,0.524025,0.735081,0.409483,0.655172,0.939655,0.543103,0.409483,0.577586,0.887931,0.655172,0.939655,,,
train_validation,near_right,232,0.769925,1.080747,0.741379,0.465517,0.840517,0.857759,0.758621,0.422414,0.814655,0.456897,0.831897,,,
test,all,360,0.673835,0.9566,0.605556,0.530556,0.888889,0.75,0.605556,0.452778,0.836111,0.530556,0.888889,1.445667,1.4,1.4
test,far_left,60,1.045636,1.337166,0.983333,0.35,0.75,1.0,0.983333,0.35,0.75,0.35,0.75,,,
test,far_center,60,0.545173,0.805463,0.483333,0.583333,0.95,0.616667,0.483333,0.533333,0.883333,0.583333,0.95,,,
test,far_right,60,0.587227,0.856219,0.55,0.566667,0.883333,0.7,0.55,0.466667,0.883333,0.566667,0.883333,,,
test,near_left,60,0.689247,0.893082,0.65,0.433333,0.933333,0.783333,0.65,0.4,0.816667,0.433333,0.933333,,,
test,near_center,60,0.471499,0.743129,0.316667,0.75,0.95,0.516667,0.316667,0.616667,0.883333,0.75,0.95,,,
test,near_right,60,0.70423,0.985279,0.65,0.5,0.866667,0.883333,0.65,0.35,0.8,0.5,0.866667,,,
