sample_second,zone_id,zone,current_count,projected_count,previous_count,count_delta,inflow,outflow,projected_inflow,projected_outflow,new_entries,disappeared,mean_confidence,mean_speed,mean_velocity_x,mean_velocity_y,predicted_ratio,mean_bbox_area,target_second,target_next_count,data_split
0.0,0,far_left,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.62895,0.0,0.0,0.0,0.0,5267.5,1.0,4,train
0.0,1,far_center,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7977,0.0,0.0,0.0,0.0,9214.5,1.0,2,train
0.0,2,far_right,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.86295,0.0,0.0,0.0,0.0,12159.0,1.0,1,train
0.0,3,near_left,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6595,0.0,0.0,0.0,0.0,11206.0,1.0,4,train
0.0,4,near_center,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.841125,0.0,0.0,0.0,0.0,20660.0,1.0,4,train
0.0,5,near_right,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.89005,0.0,0.0,0.0,0.0,25812.0,1.0,2,train
1.0,0,far_left,4.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7472,27.57,16.375,-5.25,0.0,5097.0,2.0,5,train
1.0,1,far_center,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.57045,56.035,48.75,-33.5,0.0,8011.5,2.0,3,train
1.0,2,far_right,1.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8986,25.89,-4.5,-29.0,0.0,10176.0,2.0,1,train
1.0,3,near_left,4.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.759225,52.0625,-13.125,7.25,0.0,13262.0,2.0,4,train
1.0,4,near_center,4.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.85025,116.7425,-21.0,9.5,0.0,19519.75,2.0,1,train
1.0,5,near_right,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.84295,46.625,9.0,51.0,0.0,22995.0,2.0,4,train
2.0,0,far_left,5.0,6.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7211,46.084,28.2,-14.4,0.0,6196.8,3.0,3,train
2.0,1,far_center,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.699,37.523333,31.5,-22.333333,0.0,7085.333333,3.0,3,train
2.0,2,far_right,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9069,29.21,3.5,-33.0,0.0,9513.0,3.0,1,train
2.0,3,near_left,4.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.671725,65.9025,-16.25,6.5,0.0,12136.5,3.0,3,train
