sample_second,zone_id,zone,current_count,pixel_projected_count,ground_projected_count,previous_count,count_delta,inflow,outflow,projected_inflow,projected_outflow,new_entries,disappeared,mean_confidence,mean_ground_speed_m_s,mean_ground_velocity_x_m_s,mean_ground_velocity_y_m_s,predicted_ratio,mean_bbox_area_ratio,target_second,target_next_count,data_split
0.0,0,far_left,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.62895,0.0,0.0,0.0,0.0,0.00254,1.0,4,train
0.0,1,far_center,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7977,0.0,0.0,0.0,0.0,0.004444,1.0,2,train
0.0,2,far_right,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.86295,0.0,0.0,0.0,0.0,0.005864,1.0,1,train
0.0,3,near_left,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6595,0.0,0.0,0.0,0.0,0.005404,1.0,4,train
0.0,4,near_center,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.841125,0.0,0.0,0.0,0.0,0.009963,1.0,4,train
0.0,5,near_right,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.89005,0.0,0.0,0.0,0.0,0.012448,1.0,2,train
0.2,0,far_left,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671575,0.805143,0.397185,0.047552,0.0,0.002482,1.2,4,train
0.2,1,far_center,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7702,1.659966,1.494873,-0.451729,0.0,0.004486,1.2,3,train
0.2,2,far_right,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8576,2.858272,2.814267,0.454825,0.0,0.005766,1.2,1,train
0.2,3,near_left,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67945,0.857648,-0.54967,-0.320716,0.0,0.00588,1.2,4,train
0.2,4,near_center,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.881875,1.25252,-0.383531,-0.180201,0.0,0.009907,1.2,2,train
0.2,5,near_right,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82735,0.096817,-0.014098,-0.050057,0.0,0.011975,1.2,4,train
0.4,0,far_left,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7226,0.878126,0.252551,-0.119683,0.0,0.00244,1.4,5,train
0.4,1,far_center,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85045,2.340687,2.32348,-0.274875,0.0,0.004327,1.4,2,train
0.4,2,far_right,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7939,3.323653,3.279869,0.491855,0.0,0.005561,1.4,1,train
0.4,3,near_left,5.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.69488,0.5937,-0.340472,-0.17179,0.0,0.00613,1.4,4,train
0.4,4,near_center,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83755,1.285407,-0.259412,-0.047335,0.0,0.009911,1.4,3,train
0.4,5,near_right,3.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5721,0.515124,-0.454231,-0.151922,0.0,0.008982,1.4,5,train
0.6,0,far_left,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644375,1.267551,0.500519,-0.036812,0.0,0.002403,1.6,5,train
0.6,1,far_center,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6425,3.172184,3.162927,-0.112108,0.0,0.004087,1.6,2,train
0.6,2,far_right,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7269,2.924471,2.888085,0.363289,0.0,0.005171,1.6,1,train
0.6,3,near_left,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70562,0.981457,-0.08161,-0.250098,0.0,0.005794,1.6,4,train
0.6,4,near_center,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905075,1.389764,-0.113644,0.07161,0.0,0.009481,1.6,3,train
0.6,5,near_right,2.0,2.0,3.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6505,1.946738,-1.914628,-0.232751,0.0,0.009541,1.6,5,train
0.8,0,far_left,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631825,1.614217,0.596065,-0.070909,0.0,0.00239,1.8,5,train
0.8,1,far_center,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68365,3.463556,3.454625,0.073993,0.0,0.004048,1.8,3,train
0.8,2,far_right,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62285,2.412351,2.375363,0.259028,0.0,0.004617,1.8,1,train
0.8,3,near_left,5.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64788,1.114616,0.082153,-0.132876,0.0,0.005691,1.8,5,train
0.8,4,near_center,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.852975,1.515675,-0.178409,0.046808,0.0,0.009456,1.8,1,train
0.8,5,near_right,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8187,2.956058,-2.905069,-0.455251,0.0,0.010447,1.8,4,train
1.0,0,far_left,4.0,5.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7472,1.748665,0.581683,-0.091317,0.0,0.002458,2.0,5,train
1.0,1,far_center,2.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.57045,3.641876,3.631424,0.152125,0.0,0.003864,2.0,3,train
1.0,2,far_right,1.0,1.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8986,2.164901,2.087148,0.574986,0.0,0.004907,2.0,1,train
1.0,3,near_left,4.0,3.0,4.0,5.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.759225,1.557455,0.237981,-0.075784,0.0,0.006396,2.0,4,train
1.0,4,near_center,4.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.85025,1.669185,-0.140259,0.080479,0.0,0.009413,2.0,1,train
