sample_second,video_time_s,frame_index,track_id,label,confidence,bbox_x,bbox_y,bbox_width,bbox_height,center_x,center_y,area_px,displacement_px,speed_px_s,track_age_s,tracking_state,missed_frames
0.0,0.0,0,1,person,0.9215,249,788,131,292,314.5,934.0,38252,0.0,0.0,0.0,detected,0
0.0,0.0,0,2,person,0.9198,1605,610,110,252,1660.0,736.0,27720,0.0,0.0,0.0,detected,0
0.0,0.0,0,3,person,0.9133,879,78,66,152,912.0,154.0,10032,0.0,0.0,0.0,detected,0
0.0,0.0,0,4,person,0.9111,1648,121,69,166,1682.5,204.0,11454,0.0,0.0,0.0,detected,0
0.0,0.0,0,5,person,0.8968,716,228,63,178,747.5,317.0,11214,0.0,0.0,0.0,detected,0
0.0,0.0,0,6,person,0.8963,801,244,56,179,829.0,333.5,10024,0.0,0.0,0.0,detected,0
0.0,0.0,0,7,person,0.8962,873,392,110,226,928.0,505.0,24860,0.0,0.0,0.0,detected,0
0.0,0.0,0,8,person,0.8603,1572,913,144,166,1644.0,996.0,23904,0.0,0.0,0.0,detected,0
0.0,0.0,0,9,person,0.8245,1451,34,82,153,1492.0,110.5,12546,0.0,0.0,0.0,detected,0
0.0,0.0,0,10,person,0.8148,1798,180,67,192,1831.5,276.0,12864,0.0,0.0,0.0,detected,0
0.0,0.0,0,11,person,0.7709,1349,18,53,111,1375.5,73.5,5883,0.0,0.0,0.0,detected,0
0.0,0.0,0,12,person,0.7454,295,296,76,184,333.0,388.0,13984,0.0,0.0,0.0,detected,0
0.0,0.0,0,13,person,0.7427,981,0,53,127,1007.5,63.5,6731,0.0,0.0,0.0,detected,0
0.0,0.0,0,14,person,0.6505,618,1008,132,72,684.0,1044.0,9504,0.0,0.0,0.0,detected,0
0.0,0.0,0,15,person,0.5407,14,276,74,159,51.0,355.5,11766,0.0,0.0,0.0,detected,0
0.0,0.0,0,16,person,0.4557,1157,1,38,75,1176.0,38.5,2850,0.0,0.0,0.0,detected,0
0.0,0.0,0,17,person,0.4551,111,287,60,131,141.0,352.5,7860,0.0,0.0,0.0,detected,0
0.0,0.0,0,18,person,0.4041,1326,0,31,47,1341.5,23.5,1457,0.0,0.0,0.0,detected,0
0.2,0.2,1,1,person,0.9226,227,803,120,276,287.0,941.0,33120,28.38,141.88,0.2,detected,0
