sample_second,track_id,zone_id,foot_x_px,foot_y_px,ground_x_m,ground_y_m,velocity_x_m_s,velocity_y_m_s,speed_m_s,pixel_projected_zone_1s,ground_projected_zone_1s,confidence,tracking_state
0.0,1,4,314.5,1080.0,15.309828,18.580554,0.0,0.0,0.0,4,4,0.9215,detected
0.0,2,5,1660.0,862.0,24.356994,8.892785,0.0,0.0,0.0,5,5,0.9198,detected
0.0,3,0,912.0,230.0,45.391034,28.962534,0.0,0.0,0.0,0,0,0.9133,detected
0.0,4,2,1682.5,287.0,47.072049,13.968705,0.0,0.0,0.0,2,2,0.9111,detected
0.0,5,3,747.5,406.0,33.983842,25.696541,0.0,0.0,0.0,3,3,0.8968,detected
0.0,6,4,829.0,423.0,33.718292,24.061074,0.0,0.0,0.0,4,4,0.8963,detected
0.0,7,4,928.0,618.0,27.234878,18.863829,0.0,0.0,0.0,4,4,0.8962,detected
0.0,8,5,1644.0,1079.0,20.265204,8.081556,0.0,0.0,0.0,5,5,0.8603,detected
0.0,9,1,1492.0,187.0,53.815758,19.548598,0.0,0.0,0.0,1,1,0.8245,detected
0.0,10,2,1831.5,372.0,42.516935,10.624773,0.0,0.0,0.0,2,2,0.8148,detected
0.0,11,1,1375.5,129.0,58.73544,23.859078,0.0,0.0,0.0,1,1,0.7709,detected
0.0,12,3,333.0,480.0,28.439692,29.471184,0.0,0.0,0.0,3,3,0.7454,detected
0.0,13,0,1007.5,127.0,55.48594,31.89265,0.0,0.0,0.0,0,0,0.7427,detected
0.0,14,4,684.0,1080.0,16.646209,15.613206,0.0,0.0,0.0,4,4,0.6505,detected
0.0,15,3,51.0,435.0,28.406818,34.81619,0.0,0.0,0.0,3,3,0.5407,detected
0.0,16,0,1176.0,76.0,63.277671,30.894516,0.0,0.0,0.0,0,0,0.4557,detected
0.0,17,3,141.0,418.0,29.640336,34.286135,0.0,0.0,0.0,3,3,0.4551,detected
0.0,18,0,1341.5,47.0,69.185695,28.455895,0.0,0.0,0.0,0,0,0.4041,detected
0.2,1,4,287.0,1079.0,15.234858,18.813542,-0.374848,1.164943,1.223766,4,4,0.9226,detected
0.2,2,5,1659.0,862.0,24.35262,8.901611,-0.021869,0.044131,0.049252,5,5,0.9239,detected
0.2,3,0,914.5,228.0,45.560963,28.998397,0.849645,0.179318,0.868362,0,0,0.8938,detected
0.2,4,2,1681.5,285.0,47.206579,14.018093,0.672648,0.246939,0.716543,2,2,0.9123,detected
0.2,5,3,757.5,406.0,34.045059,25.549688,0.306087,-0.734264,0.795508,3,3,0.8823,detected
0.2,6,4,842.5,423.0,33.799784,23.869489,0.407461,-0.957925,1.040983,4,4,0.8874,detected
0.2,7,4,916.0,629.0,26.851039,18.825597,-1.919195,-0.191157,1.928692,4,4,0.9273,detected
