learning_rate,dropout,seed,fold,train_end_exclusive_second,validation_start_second,validation_end_exclusive_second,best_epoch,validation_mae
0.001,0.1,17,1,120.0,120.0,160.0,31,0.641318
0.001,0.1,17,2,160.0,160.0,200.0,24,0.568469
0.001,0.1,17,3,200.0,200.0,240.0,17,0.696037
0.003,0.1,17,1,120.0,120.0,160.0,17,0.643234
0.003,0.1,17,2,160.0,160.0,200.0,16,0.562292
0.003,0.1,17,3,200.0,200.0,240.0,15,0.692848
0.001,0.2,17,1,120.0,120.0,160.0,31,0.641709
0.001,0.2,17,2,160.0,160.0,200.0,26,0.566076
0.001,0.2,17,3,200.0,200.0,240.0,32,0.694715
0.003,0.2,17,1,120.0,120.0,160.0,17,0.64283
0.003,0.2,17,2,160.0,160.0,200.0,19,0.563427
0.003,0.2,17,3,200.0,200.0,240.0,23,0.688558
