sample_second,zone_id,zone,current_count,projected_count,previous_count,count_delta,inflow,outflow,projected_inflow,projected_outflow,new_entries,disappeared,mean_confidence,mean_speed,mean_velocity_x,mean_velocity_y,predicted_ratio,mean_bbox_area,target_second,target_next_count,data_split
0.0,0,left_sidewalk,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.67944,0.0,0.0,0.0,0.0,10074.6,1.0,5,train
0.0,1,center_walkway,9.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.746278,0.0,0.0,0.0,0.0,12954.444444,1.0,9,train
0.0,2,right_sidewalk,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8765,0.0,0.0,0.0,0.0,18985.5,1.0,3,train
1.0,0,left_sidewalk,5.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.73582,43.67,-8.0,5.4,0.0,11295.8,2.0,5,train
1.0,1,center_walkway,9.0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.765389,75.468889,7.388889,-5.333333,0.0,12339.888889,2.0,8,train
1.0,2,right_sidewalk,3.0,3.0,4.0,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.8615,39.713333,4.5,24.333333,0.0,18722.0,2.0,5,train
2.0,0,left_sidewalk,5.0,6.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.71444,59.054,-6.9,1.8,0.0,10708.8,3.0,4,train
2.0,1,center_walkway,8.0,6.0,9.0,-1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.778025,70.55875,24.75,-9.0,0.0,13861.625,3.0,6,train
2.0,2,right_sidewalk,5.0,6.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.63008,42.048,-6.3,14.8,0.0,10260.6,3.0,5,train
3.0,0,left_sidewalk,4.0,4.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.644975,28.13,25.875,-12.25,0.0,8722.0,4.0,4,train
3.0,1,center_walkway,6.0,6.0,8.0,-2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.83885,87.355,32.5,-19.666667,0.0,17050.666667,4.0,5,train
3.0,2,right_sidewalk,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5608,46.868,-17.3,40.6,0.0,13313.2,4.0,5,train
4.0,0,left_sidewalk,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.557775,32.6325,17.75,-8.5,0.0,8495.5,5.0,5,train
4.0,1,center_walkway,5.0,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8866,96.172,25.3,-14.2,0.0,18730.8,5.0,7,train
4.0,2,right_sidewalk,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.71076,51.484,-13.4,10.6,0.0,11846.4,5.0,5,train
5.0,0,left_sidewalk,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.74214,25.552,4.5,0.8,0.0,10814.0,6.0,6,train
